municipio,mesorregiao,populacao,doses_distribuidas,primeira_dose,primeira_dose_percapita,segunda_dose,segunda_dose_percapita
BOTUCATU,Bauru,148130,72915,115731,78.13,23939,16.16
SERRANA,Ribeirão Preto,45644,10607,33384,73.14,31368,68.72
FLORA RICA,Presidente Prudente,1430,1226,893,62.45,458,32.03
TURMALINA,São José do Rio Preto,1696,1399,1041,61.38,474,27.95
URU,Bauru,1153,929,618,53.6,242,20.99
ÁGUAS DE SÃO PEDRO,Piracicaba,3521,2879,1866,53.0,930,26.41
SANTANA DA PONTE PENSA,São José do Rio Preto,1467,1144,776,52.9,385,26.24
RIBEIRÃO DOS ÍNDIOS,Presidente Prudente,2224,1668,1158,52.07,518,23.29
NOVA CANAÃ PAULISTA,São José do Rio Preto,1852,1467,964,52.05,396,21.38
PARISI,São José do Rio Preto,2169,1447,1108,51.08,428,19.73
APARECIDA D'OESTE,São José do Rio Preto,4158,2885,2032,48.87,867,20.85
FLORÍNIA,Assis,2653,1861,1274,48.02,520,19.6
ARCO-ÍRIS,Marília,1773,1553,841,47.43,544,30.68
POPULINA,São José do Rio Preto,4152,2710,1932,46.53,819,19.73
PRESIDENTE BERNARDES,Presidente Prudente,13023,9217,5904,45.34,2866,22.01
OSCAR BRESSANE,Marília,2603,1874,1159,44.53,583,22.4
FLOREAL,São José do Rio Preto,2900,2117,1279,44.1,651,22.45
PEDRANÓPOLIS,São José do Rio Preto,2481,1676,1090,43.93,519,20.92
CRUZÁLIA,Assis,2046,1363,894,43.7,382,18.67
SANTA CRUZ DA CONCEIÇÃO,Piracicaba,4544,2706,1979,43.55,911,20.05
PEDRINHAS PAULISTA,Assis,3101,1769,1350,43.53,498,16.06
ADOLFO,São José do Rio Preto,3554,2430,1546,43.5,706,19.86
DIVINOLÂNDIA,Campinas,11086,7294,4803,43.32,2248,20.28
SANTA SALETE,São José do Rio Preto,1552,1160,666,42.91,370,23.84
PALMEIRA D'OESTE,São José do Rio Preto,9227,5777,3957,42.89,1737,18.83
LAGOINHA,Vale do Paraíba Paulista,4889,3207,2091,42.77,866,17.71
MACEDÔNIA,São José do Rio Preto,3692,2409,1575,42.66,659,17.85
CÂNDIDO RODRIGUES,Ribeirão Preto,2799,1910,1194,42.66,605,21.61
SANTA RITA D'OESTE,São José do Rio Preto,2487,1846,1057,42.5,504,20.27
ALFREDO MARCONDES,Presidente Prudente,4184,2877,1750,41.83,957,22.87
INDIANA,Presidente Prudente,4879,2837,2020,41.4,837,17.16
SANTA CLARA D'OESTE,São José do Rio Preto,2113,1352,869,41.13,366,17.32
TIMBURI,Assis,2652,1645,1089,41.06,486,18.33
COSMORAMA,São José do Rio Preto,7298,4660,2995,41.04,1319,18.07
MIRA ESTRELA,São José do Rio Preto,3106,2043,1274,41.02,555,17.87
SÃO CAETANO DO SUL,Metropolitana de São Paulo,161957,116922,66392,40.99,34510,21.31
MESÓPOLIS,São José do Rio Preto,1905,1288,776,40.73,402,21.1
LUTÉCIA,Assis,2636,1647,1072,40.67,474,17.98
ESTRELA DO NORTE,Presidente Prudente,2770,1476,1121,40.47,368,13.29
RUBINÉIA,São José do Rio Preto,3170,2126,1276,40.25,517,16.31
SÃO JOÃO DO PAU D'ALHO,Presidente Prudente,2100,1575,845,40.24,487,23.19
MONÇÕES,São José do Rio Preto,2267,1510,911,40.19,434,19.14
